Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Param_Std                
250                      4.028461976647377        50200000.0               268.61135257564695       1000.0                   32                       249.41329815057946       1000.0                   200                      0.16891169548034668      
260                      4.19152247024907         52200000.0               275.61177842172265       1000.0                   32                       251.17891237714167       1000.0                   200                      0.16904503107070923      
270                      4.356686785817146        54200000.0               276.76585565977166       1000.0                   32                       254.79623727693743       1000.0                   200                      0.1719861477613449       
280                      4.5195943980084525       56200000.0               275.64074557441404       1000.0                   32                       259.78307886958805       1000.0                   200                      0.1740795522928238       
290                      4.689478603005409        58200000.0               275.8544287776317        1000.0                   32                       248.24721132251398       1000.0                   200                      0.18164002895355225      
300                      4.849034580257204        60200000.0               263.1821770281458        1000.0                   32                       258.05498273731394       1000.0                   200                      0.1800396889448166       
310                      4.994516223006778        62200000.0               257.8023975742062        1000.0                   32                       259.86439984438977       1000.0                   200                      0.18207673728466034      
320                      5.140501769383748        64200000.0               257.7545388900128        1000.0                   32                       262.0286586786024        1000.0                   200                      0.16954034566879272      
330                      5.2864901238679884       66200000.0               273.8244812668586        1000.0                   32                       265.3139283995973        1000.0                   200                      0.15829002857208252      
340                      5.431011536055141        68200000.0               268.82692441234894       1000.0                   32                       263.7130566336038        1000.0                   200                      0.15816190838813782      
350                      5.575411511328485        70200000.0               281.86947143158795       1000.0                   32                       269.31923230830773       1000.0                   200                      0.15461008250713348      
360                      5.7191149538755415       72200000.0               273.9996385731972        1000.0                   32                       270.09178123666          1000.0                   200                      0.15576012432575226      
370                      5.862654296424654        74200000.0               248.6235990390547        1000.0                   32                       260.60289861342864       1000.0                   200                      0.1588205248117447       
380                      6.006554832988315        76200000.0               266.9826725411242        1000.0                   32                       276.2528688981396        1000.0                   200                      0.16584883630275726      
390                      6.1521960222058825       78200000.0               265.61034646008807       1000.0                   32                       269.83257694242104       1000.0                   200                      0.16714756190776825      
400                      6.296762897239791        80200000.0               294.71645526627526       1000.0                   32                       271.6743018270591        1000.0                   200                      0.15828457474708557      
410                      6.44335936665535         82200000.0               306.8768793758436        1000.0                   32                       274.92602377854104       1000.0                   200                      0.1475711613893509       
420                      6.5871513991223445       84200000.0               301.8664604033539        1000.0                   32                       284.3260716503739        1000.0                   200                      0.1579243540763855       
430                      6.731085993051529        86200000.0               296.68872385118624       1000.0                   32                       288.52628791470244       1000.0                   200                      0.15841268002986908      
440                      6.875461812747849        88200000.0               297.8334985681968        1000.0                   32                       274.683500254505         1000.0                   200                      0.15446174144744873      
450                      7.018360789153311        90200000.0               302.15044192286035       1000.0                   32                       280.439126870166         1000.0                   200                      0.1543763279914856       
460                      7.161204100847244        92200000.0               309.4755740346004        1000.0                   32                       272.20959573397386       1000.0                   200                      0.16446974873542786      
470                      7.304673294425011        94200000.0               302.3325788015087        1000.0                   32                       287.47525323836214       1000.0                   200                      0.1676713526248932       
480                      7.451377811630567        96200000.0               310.8849699157949        1000.0                   32                       291.5668195327081        1000.0                   200                      0.15442806482315063      
490                      7.594325883057382        98200000.0               314.446151140269         1000.0                   32                       293.65454131893546       1000.0                   200                      0.15041038393974304      
